,rider_id,rider_timestamp,Nth_churn_rate,Nth_users_lost_during_period,Nth_users_at_start_of_period,Nth_percent_of_all_users,Mth_customer_lifetime_value,Mth_number_of_customers,Mth_number_of_purchases,Mth_number_of_unique_customers,Mth_sum_of_customer_lifespans,Mth_total_number_of_purchases,Mth_total_revenue
0,5c74d165-3bd6-4f39-8f92-09090a254b20,2018-03-24T21:25:51,275.9934098,25.36776647,16.50554679,80.40555813,101.4801136,9,28,2,9,70,415
1,8f60b9bb-08c6-442b-9378-8a13e601822d,2025-07-04T03:42:23,40.37654886,36.4286104,15.22409148,54.03518972,5.498847926,2,84,10,3,64,501
2,9ecaf4e7-3e90-4a97-a5fe-1afc5316d25b,2016-03-09T09:47:40,10.71157915,99.80352146,97.27119669,39.06071065,156.8875,6,40,4,6,37,320
3,7985b649-cf18-4e41-9314-2b1be7376436,2027-12-28T08:05:15,43.85891552,26.51238207,51.14095786,37.47930734,172.5465839,6,96,1,2,42,177
4,210c9296-380e-484f-a9ed-cb1921ad2d63,2028-05-10T23:33:26,15.10206629,80.03108466,13.19490179,79.43390331,150.675,3,3,1,4,84,658
5,5cdec3b8-bddc-4791-aaf1-cde4bbcbe2f4,2032-05-06T16:15:31,510.6240595,45.92606194,65.74101772,37.58839105,114.8774194,9,100,6,9,91,771
6,6643d8f4-cdf2-4e01-84d8-ec242e69543f,2026-02-15T21:05:04,9.322582756,64.4797754,29.2788676,21.52713986,17.64742268,4,39,6,6,50,785
7,46df521c-5039-4e6b-af73-eb73a726f02c,2014-10-12T14:07:57,20.20171923,5.585087752,5.691466024,63.15262106,0.538461538,4,84,6,7,66,75
8,e13cd28e-1eee-4349-956c-52fc87f9b7b7,2017-11-21T16:25:01,61.96333766,66.64779117,15.2263591,13.8383337,13.74333333,3,48,4,6,26,684
9,a335488d-9ba5-4604-95ad-1025ee900c5f,2034-12-02T17:50:30,84.4707933,10.44468716,61.12491918,47.89400719,429.2181818,10,20,7,4,85,318
10,19d7e57d-a94a-4ae2-8aed-e9a0957fa18f,2022-08-03T18:15:24,26.49200095,0.639370376,60.41206973,54.74853641,46.85185185,6,61,10,7,72,885
11,e57f9a60-fc7a-4391-a47a-c5dd2e05de0c,2015-06-17T02:01:27,0.461258283,22.11388479,97.60580252,27.68060546,138.4666667,7,91,1,3,2,594
12,0a3aae6d-060c-47de-90c6-cbdc8baef9d5,2017-05-14T11:15:07,66.48139334,54.17793332,62.45959934,10.44973177,9.268765133,5,26,4,10,26,22
13,839cae34-7619-4879-9185-c2040880c51d,2027-10-21T04:40:41,30.56195524,52.9600589,94.04111361,52.16550962,3.076363636,5,82,9,7,5,314
14,19860b59-d2f0-431e-b27b-df838962b125,2033-02-19T19:25:05,41.32522053,80.40698878,38.14278035,57.53428613,994.5833333,3,84,9,6,3,80
15,9788b265-5725-4df9-9865-3cd16566dbe7,2024-10-01T22:22:12,132.1732541,24.20727467,57.8508187,6.655656666,18,7,54,7,6,60,768
16,d1330caa-3477-4300-bb8e-160eeae97704,2022-03-17T19:19:51,0.156072521,44.05528502,78.02281589,64.22004727,286.7027027,9,51,5,7,81,318
17,287e6140-2b83-4b53-b2a0-5833eb273999,2028-05-30T04:50:20,150.4673342,76.65721178,42.19296341,3.729381793,75.86206897,4,84,5,8,7,682
18,0398bf92-048f-42a7-999e-7b0294d32d4c,2031-03-03T17:35:59,41.97810911,90.64485951,16.16523778,86.31617855,146.1728395,1,62,2,7,44,985
19,df3e0361-231f-4664-a2df-a3847dbcb817,2032-12-20T09:12:03,69.66164473,77.64687164,39.71576626,45.37416728,0.863888889,6,97,2,7,67,417
20,3bdb1e86-ecd8-49ef-8a19-1ddbb97319b8,2021-02-17T00:34:38,37.27114679,53.28368748,44.69398298,48.10175589,36.33333333,6,22,9,6,1,964
21,467c751b-3e24-4203-a8e4-49f20a866a25,2025-08-11T17:00:46,104.1025025,68.01780619,67.64340495,76.30406614,155.9952381,1,83,5,7,60,528
22,8b2857d7-825c-43ea-a137-8fed26cd62e7,2021-09-19T02:14:21,33.1747394,31.29894305,63.2061431,78.41439217,8.822916667,4,44,5,6,86,706
